service_code,service_name,service_type,description,base_price,currency
LAB001,MALARIA (MRDT),Laboratory,Malaria Rapid Diagnostic Test,5000,TSH
LAB002,MALARIA (BS),Laboratory,Malaria Blood Smear,8000,TSH
LAB003,HEPATITIS B,Laboratory,Hepatitis B Test,15000,TSH
LAB004,H. PYLORI,Laboratory,Helicobacter Pylori Test,12000,TSH
LAB005,HIV,Laboratory,HIV Test,10000,TSH
LAB006,VDRL,Laboratory,VDRL Syphilis Test,8000,TSH
LAB007,BLOOD GLUCOSE TEST,Laboratory,Blood Glucose Test,3000,TSH
LAB008,HAEMOGLOBIN TEST,Laboratory,Haemoglobin Test,3000,TSH
LAB009,ABO BLOOD GROUPING,Laboratory,ABO Blood Grouping,5000,TSH
LAB010,URINALYSIS,Laboratory,Urinalysis Test,5000,TSH
LAB011,URINE SEDIMENT,Laboratory,Urine Sediment Analysis,6000,TSH
LAB012,URINE PREGNANCY TEST,Laboratory,Urine Pregnancy Test,3000,TSH
LAB013,STOOL ANALYSIS,Laboratory,Stool Analysis,5000,TSH
RAD001,X-RAY CHEST,Radiology,Chest X-Ray,25000,TSH
RAD002,X-RAY ABDOMEN,Radiology,Abdominal X-Ray,25000,TSH
RAD003,ULTRASOUND,Radiology,Ultrasound Scan,35000,TSH
CONS001,GENERAL CONSULTATION,Consultation,General Medical Consultation,20000,TSH
CONS002,SPECIALIST CONSULTATION,Consultation,Specialist Doctor Consultation,50000,TSH
PROC001,WOUND DRESSING,Procedure,Wound Dressing and Care,10000,TSH
PROC002,INJECTION,Procedure,Injection Administration,5000,TSH
PROC003,IV CANNULATION,Procedure,IV Cannula Insertion,8000,TSH
SURG001,MINOR SURGERY,Surgery,Minor Surgical Procedure,100000,TSH
EMRG001,EMERGENCY CARE,Emergency,Emergency Room Care,30000,TSH
WARD001,GENERAL WARD,Ward Stay,General Ward Per Day,50000,TSH
WARD002,PRIVATE WARD,Ward Stay,Private Ward Per Day,100000,TSH
